authority: Farifax County Public Schools
calendar: 2023-2024 Standard School Year

2024-01-04,1,1,,
2024-01-05,1,1,,
2024-01-06,0,0,,Three Kings Day/Epiphany
2024-01-07,0,0,,Orthodox Christmas
2024-01-08,1,1,,
2024-01-09,1,1,,
2024-01-10,1,1,,
2024-01-11,1,1,,
2024-01-12,1,1,,
2024-01-13,0,0,,
2024-01-14,0,0,,
2024-01-15,0,0,,Martin Luther King, Jr.’s Birthday
2024-01-16,1,1,,
2024-01-17,1,1,,
2024-01-18,1,1,,
2024-01-19,1,1,,Orthodox Epiphany
2024-01-20,0,0,,
2024-01-21,0,0,,
2024-01-22,1,1,,
2024-01-23,1,1,,
2024-01-24,1,1,,
2024-01-25,1,1,,QE/ER
2024-01-26,0,1,,PW
2024-01-27,0,0,,
2024-01-28,0,0,,
2024-01-29,1,1,,
2024-01-30,1,1,,
2024-01-31,1,1,,
2024-02-01,1,1,,
2024-02-02,1,1,,
2024-02-03,0,0,,
2024-02-04,0,0,,
2024-02-05,1,1,,
2024-02-06,1,1,,
2024-02-07,1,1,,
2024-02-08,1,1,,
2024-02-09,1,1,,
2024-02-10,0,0,,Lunar New Year
2024-02-11,0,0,,
2024-02-12,1,1,,
2024-02-13,1,1,,
2024-02-14,1,1,,Ash Wednesday
2024-02-15,1,1,,
2024-02-16,1,1,,
2024-02-17,0,0,,
2024-02-18,0,0,,
2024-02-19,0,0,,Washington’s Birthday and Presidents’ Day
2024-02-20,1,1,,
2024-02-21,1,1,,
2024-02-22,1,1,,
2024-02-23,1,1,,
2024-02-24,0,0,,
2024-02-25,0,0,,
2024-02-26,1,1,,
2024-02-27,1,1,,
2024-02-28,1,1,,
2024-02-29,1,1,,
2024-03-01,1,1,,
2024-03-02,0,0,,
2024-03-03,0,0,,
2024-03-04,1,1,,
2024-03-05,0,1,,Presidential Primary
2024-03-06,1,1,,
2024-03-07,1,1,,
2024-03-08,1,1,,
2024-03-09,0,0,,
2024-03-10,0,0,,
2024-03-11,1,1,,First Full Day of Ramadan
2024-03-12,1,1,,
2024-03-13,1,1,,
2024-03-14,1,1,,
2024-03-15,1,1,,
2024-03-16,0,0,,
2024-03-17,0,0,,
2024-03-18,1,1,,
2024-03-19,1,1,,
2024-03-20,1,1,,Orthodox Ash Wednesday
2024-03-21,1,1,,
2024-03-22,1,1,,QE
2024-03-23,0,0,,
2024-03-24,0,0,,
2024-03-25,0,0,,Spring Break
2024-03-26,0,0,,Spring Break
2024-03-27,0,0,,Spring Break
2024-03-28,0,0,,Spring Break
2024-03-29,0,0,,Spring Break/Good Friday
2024-03-30,0,0,,
2024-03-31,0,0,,Easter
2024-04-01,0,1,,PW
2024-04-02,0,1,,PW
2024-04-03,1,1,,
2024-04-04,1,1,,
2024-04-05,1,1,,
2024-04-06,0,0,,
2024-04-07,0,0,,
2024-04-08,1,1,,
2024-04-09,1,1,,
2024-04-10,0,0,,Eid al Fitr
2024-04-11,1,1,,
2024-04-12,1,1,,
2024-04-13,0,0,,
2024-04-14,0,0,,
2024-04-15,1,1,,
2024-04-16,1,1,,
2024-04-17,1,1,,
2024-04-18,1,1,,
2024-04-19,1,1,,
2024-04-20,0,0,,
2024-04-21,0,0,,
2024-04-22,1,1,,First evening of Passover
2024-04-23,1,1,,Second evening of Passover
2024-04-24,1,1,,Theravada New Year
2024-04-25,1,1,,
2024-04-26,1,1,,
2024-04-27,0,0,,
2024-04-28,0,0,,
2024-04-29,1,1,,
2024-04-30,1,1,,
2024-05-01,1,1,,
2024-05-02,1,1,,
2024-05-03,0,1,,Orthodox Good Friday
2024-05-04,0,0,,
2024-05-05,0,0,,Orthodox Easter
2024-05-06,1,1,,
2024-05-07,1,1,,
2024-05-08,1,1,,
2024-05-09,1,1,,
2024-05-10,1,1,,
2024-05-11,0,0,,
2024-05-12,0,0,,
2024-05-13,1,1,,
2024-05-14,1,1,,
2024-05-15,1,1,,
2024-05-16,1,1,,
2024-05-17,1,1,,
2024-05-18,0,0,,
2024-05-19,0,0,,
2024-05-20,1,1,,
2024-05-21,1,1,,
2024-05-22,1,1,,
2024-05-23,1,1,,
2024-05-24,1,1,,
2024-05-25,0,0,,
2024-05-26,0,0,,
2024-05-27,0,0,,Memorial Day
2024-05-28,1,1,,
2024-05-29,1,1,,
2024-05-30,1,1,,
2024-05-31,1,1,,
2024-06-01,0,0,,
2024-06-02,0,0,,
2024-06-03,1,1,,
2024-06-04,1,1,,
2024-06-05,1,1,,
2024-06-06,1,1,,
2024-06-07,1,1,,
2024-06-08,0,0,,
2024-06-09,0,0,,
2024-06-10,1,1,,
2024-06-11,1,1,,
2024-06-12,1,1,,Last Day for Regular Classes/Early Release
2024-06-13,0,1,,PW
2024-06-14,0,1,,PW
2024-06-15,0,0,,
2024-06-16,0,0,,
2024-06-17,0,0,,Eid-al-Adha
2024-06-18,0,1,,PW
2024-06-19,0,0,,Juneteenth
2024-06-20,0,0,,
2024-06-21,0,0,,
2024-06-22,0,0,,
2024-06-23,0,0,,
2024-06-24,0,0,,
2024-06-25,0,0,,
2024-06-26,0,0,,
2024-06-27,0,0,,
2024-06-28,0,0,,
2024-06-29,0,0,,
2024-06-30,0,0,,
