authority: Farifax County Public Schools
calendar: 2021-2022 Standard School Year

2021-07-01,0,0,,
2021-07-02,0,0,,
2021-07-03,0,0,,
2021-07-04,0,0,,
2021-07-05,0,0,H,Independence Day (observed)
2021-07-06,0,0,,
2021-07-07,0,0,,
2021-07-08,0,0,,
2021-07-09,0,0,,
2021-07-10,0,0,,
2021-07-11,0,0,,
2021-07-12,0,0,,
2021-07-13,0,0,,
2021-07-14,0,0,,
2021-07-15,0,0,,
2021-07-16,0,0,,
2021-07-17,0,0,,
2021-07-18,0,0,,
2021-07-19,0,0,,
2021-07-20,0,0,O,Eid al-Adha (begins sunset 7/19)
2021-07-21,0,0,,
2021-07-22,0,0,,
2021-07-23,0,0,,
2021-07-24,0,0,,
2021-07-25,0,0,,
2021-07-26,0,0,,
2021-07-27,0,0,,
2021-07-28,0,0,,
2021-07-29,0,0,,
2021-07-30,0,0,,
2021-07-31,0,0,,
2021-08-01,0,0,,
2021-08-02,0,0,,
2021-08-03,0,0,,
2021-08-04,0,0,,
2021-08-05,0,0,,
2021-08-06,0,0,,
2021-08-07,0,0,,
2021-08-08,0,0,,
2021-08-09,0,0,NT,
2021-08-10,0,0,NT,
2021-08-11,0,0,NT,
2021-08-12,0,0,NT,
2021-08-13,0,1,TW,Optional work from alternate location
2021-08-14,0,0,,
2021-08-15,0,0,,
2021-08-16,0,1,SP,
2021-08-17,0,1,TW,
2021-08-18,0,1,SD,
2021-08-19,0,1,SP,
2021-08-20,0,1,TW,
2021-08-21,0,0,,
2021-08-22,0,0,,
2021-08-23,1,1,F,School Begins
2021-08-24,1,1,,
2021-08-25,1,1,,
2021-08-26,1,1,,
2021-08-27,1,1,,
2021-08-28,0,0,,
2021-08-29,0,0,,
2021-08-30,1,1,,
2021-08-31,1,1,,
2021-09-01,1,1,,
2021-09-02,1,1,,
2021-09-03,0,0,H,Student Holiday (Labor Day Break)
2021-09-04,0,0,,Student Holiday (Labor Day Break)
2021-09-05,0,0,,Student Holiday (Labor Day Break)
2021-09-06,0,0,H,Student Holiday (Labor Day Break)
2021-09-07,1,1,O,Rosh Hashanah (begins sunset 9/6-9/8)
2021-09-08,1,1,,
2021-09-09,1,1,,
2021-09-10,1,1,,
2021-09-11,0,0,,
2021-09-12,0,0,,
2021-09-13,1,1,,
2021-09-14,1,1,,
2021-09-15,1,1,,
2021-09-16,1,1,O,Yom Kippur (begins sunset 9/15 and continues into the night of 9/16)
2021-09-17,1,1,,
2021-09-18,0,0,,
2021-09-19,0,0,,
2021-09-20,1,1,,
2021-09-21,1,1,,
2021-09-22,1,1,,
2021-09-23,1,1,,
2021-09-24,1,1,,
2021-09-25,0,0,,
2021-09-26,0,0,,
2021-09-27,1,1,,
2021-09-28,1,1,,
2021-09-29,1,1,,
2021-09-30,1,1,,
2021-10-01,1,1,,
2021-10-02,0,0,,
2021-10-03,0,0,,
2021-10-04,1,1,,
2021-10-05,1,1,,
2021-10-06,1,1,,
2021-10-07,1,1,,
2021-10-08,1,1,,
2021-10-09,0,0,,
2021-10-10,0,0,,
2021-10-11,0,1,SP,Student Holiday (Professional Development Day - Indigenous Peoples’ Day)
2021-10-12,1,1,,
2021-10-13,1,1,,
2021-10-14,1,1,,
2021-10-15,1,1,,
2021-10-16,0,0,,
2021-10-17,0,0,,
2021-10-18,1,1,,
2021-10-19,1,1,,
2021-10-20,1,1,,
2021-10-21,1,1,,
2021-10-22,1,1,,
2021-10-23,0,0,,
2021-10-24,0,0,,
2021-10-25,1,1,,
2021-10-26,1,1,,
2021-10-27,1,1,,
2021-10-28,1,1,,
2021-10-29,1,1,QE/ER,End of First Quarter - 2-hour Early Release
2021-10-30,0,0,,
2021-10-31,0,0,,
2021-11-01,0,1,TW,Student Holiday (Teacher Workday)/Día de los Muertos
2021-11-02,0,1,TW,Student Holiday (Teacher Workday)/Día de los Muertos/Election Day/Optional work from alternate location
2021-11-03,1,1,,
2021-11-04,1,1,O,Diwali
2021-11-05,1,1,,
2021-11-06,0,0,,
2021-11-07,0,0,,
2021-11-08,1,1,,
2021-11-09,1,1,,
2021-11-10,1,1,,
2021-11-11,1,1,ER,2-hour Early Release (Veterans Day)
2021-11-12,1,1,,
2021-11-13,0,0,,
2021-11-14,0,0,,
2021-11-15,1,1,,
2021-11-16,1,1,,
2021-11-17,1,1,,
2021-11-18,1,1,,
2021-11-19,1,1,,
2021-11-20,0,0,,
2021-11-21,0,0,,
2021-11-22,1,1,,
2021-11-23,1,1,,
2021-11-24,0,0,H,Holiday (Thanksgiving)
2021-11-25,0,0,H,Holiday (Thanksgiving)
2021-11-26,0,0,H,Holiday (Thanksgiving)
2021-11-27,0,0,,
2021-11-28,0,0,,
